datetime,open,high,low,close
2022-06-03,1868.53003,1874.30005,1847.02002,1850.76562
2022-06-06,1850.29248,1858.14502,1840.50244,1840.99817
2022-06-07,1841.59998,1855.85999,1836.72998,1851.97412
2022-06-08,1852.51001,1859.89502,1844.34998,1853.255
2022-06-09,1853.53003,1855.52002,1839.59998,1847.6095
2022-06-10,1848.08508,1876.47498,1825.01501,1870.95996
2022-06-13,1875.79504,1877.37683,1818.77417,1818.77417
2022-06-14,1819.09998,1832.19495,1804.65002,1808.09998
2022-06-15,1808.35498,1841.745,1807.23914,1833.37927
2022-06-16,1833.98999,1857.9137,1815.94995,1856.70752
2022-06-17,1857.33997,1858.2926,1833.72498,1839.34998
2022-06-20,1840.40002,1846.42004,1834.495,1838.2876
2022-06-21,1838.37415,1844.14502,1828.28503,1832.55847
2022-06-22,1832.95996,1848.44495,1823.23499,1837.38635
2022-06-23,1837.87,1846.19495,1821.875,1822.42932
2022-06-24,1822.88,1832.14502,1816.69995,1826.18005
2022-06-27,1838.14502,1841.34497,1820.40002,1822.72998
2022-06-28,1822.84998,1830.09497,1818.19995,1819.69495
2022-06-29,1819.95496,1833.245,1812.09998,1817.10901
2022-06-30,1817.80005,1825.89502,1802.19995,1806.88696
2022-07-01,1807.31006,1812.09497,1784.09998,1810.18005
2022-07-04,1812.26575,1814.35657,1803.44995,1809.11658
2022-07-05,1808.73547,1812.41504,1763.48499,1764.35278
2022-07-06,1764.87,1773.06006,1731.75,1738.30347
2022-07-07,1738.93005,1749.13953,1735.94995,1739.61145
2022-07-08,1740.05005,1752.49622,1733.245,1741.81995
2022-07-11,1742.85999,1744.91504,1731.01001,1733.67261
2022-07-12,1733.995,1743.495,1722.93005,1725.80603
2022-07-13,1726.16504,1745.53503,1707.375,1735.23145
2022-07-14,1735.69556,1736.93665,1697.48499,1709.4491
2022-07-15,1709.81494,1716.92004,1698.81995,1706.78003
2022-07-18,1707.94495,1724.04504,1705.8938,1709.01184
2022-07-19,1709.27002,1718.64001,1704.95996,1711.06555
2022-07-20,1711.29504,1714.94495,1692.5332,1696.43298
2022-07-21,1696.72998,1720.69495,1680.77502,1718.49243
2022-07-22,1718.61011,1739.28406,1712.92908,1726.45996
2022-07-25,1728.14502,1736.42505,1714.57495,1718.78003
